[2025-04-25 22:04:39] [INFO    ] discord.client: logging in using static token
[2025-04-25 22:04:40] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-04-25 22:04:40] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-04-25 22:04:40] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1365249312577159230', 'username': 'SigmaBot', 'avatar': None, 'discriminator': '0638', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-04-25 22:04:40] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-04-25 22:04:40] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-04-25 22:04:40] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1365249312577159230', 'name': 'SigmaBot', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1365249312577159230', 'username': 'SigmaBot', 'avatar': None, 'discriminator': '0638', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '33dd3f0cebcc224837e395562dd665c6ce3664b96097a99896c6bba498ba93c0', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1268838238139973653', 'username': 'rohit7be', 'avatar': 'f7f2e9361e8a54ce6e72580ac7b967af', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'Rohit Singh', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-04-25 22:04:41] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-04-25 22:04:41] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-d-2xs8",{"micros":0.0}]']}}
[2025-04-25 22:04:41] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-04-25 22:04:41] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-04-25 22:04:41] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'SigmaBot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1365249312577159230', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '0638', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '8f77659311b970cd81dc9f3ac4023fa0', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1344362179893137488'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['india', 'dubai', 'hongkong', 'singapore', 'tel-aviv'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1365249312577159230', 'flags': 557056}, '_trace': ['["gateway-prd-us-east1-d-2xs8",{"micros":61690,"calls":["id_created",{"micros":925,"calls":[]},"session_lookup_time",{"micros":1594,"calls":[]},"session_lookup_finished",{"micros":16,"calls":[]},"discord-sessions-prd-2-165",{"micros":58780,"calls":["start_session",{"micros":44331,"calls":["discord-api-rpc-5bc9d567c6-g2l5s",{"micros":36730,"calls":["get_user",{"micros":5505},"get_guilds",{"micros":4992},"send_scheduled_deletion_message",{"micros":6},"guild_join_requests",{"micros":0},"authorized_ip_coro",{"micros":8},"pending_payments",{"micros":707},"apex_user_experiments",{"micros":4}]}]},"starting_guild_connect",{"micros":26,"calls":[]},"presence_started",{"micros":6406,"calls":[]},"guilds_started",{"micros":78,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":7921,"calls":[]},"connect_finished",{"micros":7925,"calls":[]},"build_ready",{"micros":11,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-04-25 22:04:41] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-04-25 22:04:41] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 8f77659311b970cd81dc9f3ac4023fa0).
[2025-04-25 22:04:41] [DEBUG   ] discord.client: Dispatching event connect
